Company Name,Contact Name,Phone,Email,Website,Specialty,Priority,Contact Form URL,Guessed Email,Category,Email Greeting,Cold Email,Sent,Score,Thursday Batch
The PEST Group,,(888) 298-0465,,https://www.thepestgroup.com/,Commercial & residential pest control - Southern California,HIGH,https://www.thepestgroup.com/contact/,info@thepestgroup.com,pest control,Hi The PEST Group team,"Hi The PEST Group team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,4,
Pest Innovations Inc,,(626) 335-4441,,https://www.pestinnovations.com/,Eco-friendly commercial pest control - LA/OC/IE - 25+ years,HIGH,https://www.pestinnovations.com/contact/,info@pestinnovations.com,pest control,Hi Pest Innovations Inc team,"Hi Pest Innovations Inc team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,2,
Versa-Tech Pest Management,Jason Baacke,(888) 429-1213,,https://versatechpm.com/,Forensic pest control & rodent management - San Gabriel Valley,HIGH,https://versatechpm.com/contact/,info@versatechpm.com | jason@versatechpm.com,pest control,Hi Jason,"Hi Jason,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",Yes,5,
Guarantee Pest Control,,(800) 507-3787,guaranteepestcon@sbcglobal.net,https://guaranteepestcontrol.net/,Commercial/industrial/residential since 1958 - family owned,HIGH,,,pest control,Hi Guarantee Pest Control team,"Hi Guarantee Pest Control team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,5,
Eastern Termite & Pest Control,,(323) 373-9992,pest@easterncontrol.com,https://easterncontrol.com/,Pest control bed bugs termites mold - LA/OC/Riverside/SB,,,,pest control,Hi Eastern Termite & Pest Control team,"Hi Eastern Termite & Pest Control team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,2,
Aloha Commercial Pest Services,,(323) 263-7359,info@alohabugs.com,http://alohabugs.com/,Commercial pest control specializing in restaurant accounts,HIGH,,,pest control,Hi Aloha Commercial Pest Services team,"Hi Aloha Commercial Pest Services team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",Yes,7,
A Step Above Pest Control,,(323) 716-1725,,https://www.astepabovepestcontrol.com/,Commercial & residential - 30+ years - LA,HIGH,https://www.astepabovepestcontrol.com/contact/,info@astepabovepestcontrol.com,pest control,Hi A Step Above Pest Control team,"Hi A Step Above Pest Control team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,2,
Gorilla Pest Control,George Castillo,(888) 777-1810,,http://gorillapestcontrol.com/,Commercial residential industrial - LA/OC/SB/Riverside/Ventura,HIGH,http://gorillapestcontrol.com/contact/,info@gorillapestcontrol.com | george@gorillapestcontrol.com,pest control,Hi George,"Hi George,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,7,10
360 Rodent Control,,(866) 855-5065,360rodentontrol@gmail.com,https://360rodentcontrol.com/,Eco-friendly rodent control - family owned - commercial,HIGH,,,pest control,Hi 360 Rodent Control team,"Hi 360 Rodent Control team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,6,
Five Star Pest Control,,(808) 345-7898,hlontoc@fivestarpestcontrol.biz,https://www.excellencepestcontrol.com/,Pest control - LA - Atwater Village,,,,pest control,Hi Five Star Pest Control team,"Hi Five Star Pest Control team,

I run a service that sends pest control companies a list of LA County restaurant closures and failed health inspections twice a week. We add the phone number, Google Maps link, and website for each one and deliver it by email, text, spreadsheet, or map. Ready to call, no research needed.

You can see a sample here: https://closurealert.tideloop.co/

Ara",,2,
